obj_id,fs_obj_id,data_source_obj_id,attr_type,attr_id,name,meta_addr,meta_seq,type,has_layout,has_path,dir_type,meta_type,dir_flags,meta_flags,size,ctime,crtime,atime,mtime,mode,uid,gid,md5,known,parent_path,mime_type
33,5,1,1,0,a_gift_from_you.gif,1793159,0,0,,,5,1,2,6,35226880,0,1427201984,1427166000,1418932258,511,0,0,,0,/$OrphanFiles/proposal/,
34,5,1,1,0,landscape.png,1793161,0,0,,,5,1,2,6,6484502,0,1427202006,1427166000,1419011626,511,0,0,,0,/$OrphanFiles/proposal/,
35,5,1,1,0,TECHNI~1,141,-1,0,,,0,2,2,6,4096,0,1427202012,1427166000,1427201782,511,0,0,,0,/$OrphanFiles/,
36,5,1,1,0,.,141,0,0,,,3,2,2,6,4096,0,1427202012,1427166000,1427201782,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
37,5,1,1,0,..,33423366,0,0,,,3,2,2,5,0,0,0,0,0,0,0,0,,0,/$OrphanFiles/TECHNI~1/,
38,5,1,1,0,diary_#1d.txt,3096966,0,0,,,5,1,2,6,121441,0,1427202012,1427166000,1420484468,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
39,5,1,1,0,diary_#1p.txt,3096968,0,0,,,5,1,2,6,458267,0,1427202012,1427166000,1420478108,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
40,5,1,1,0,diary_#2d.txt,3096970,0,0,,,5,1,2,6,658922,0,1427202013,1427166000,1421090740,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
41,5,1,1,0,diary_#2p.txt,3096972,0,0,,,5,1,2,6,1154560,0,1427202014,1427166000,1421083226,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
42,5,1,1,0,diary_#3d.txt,3096974,0,0,,,5,1,2,6,2360832,0,1427202015,1427166000,1421777100,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
43,5,1,1,0,diary_#3p.txt,3096976,0,0,,,5,1,2,6,325120,0,1427202018,1427166000,1421770686,511,0,0,,0,/$OrphanFiles/TECHNI~1/,
44,5,1,1,0,desktop.ini,3256069,-1,0,,,0,1,2,6,129,0,1427223107,1427166000,1427223108,365,0,0,,0,/$OrphanFiles/,
45,5,1,1,0,amalfi.bmp,5760645,-1,0,,,0,1,2,6,921654,0,1427140517,1427079600,1367950782,511,0,0,,0,/$OrphanFiles/,
46,5,1,1,0,BAMBOO~1.GIF,5760648,-1,0,,,0,1,2,6,6717692,0,1427140517,1427079600,1358871252,511,0,0,,0,/$OrphanFiles/,
47,5,1,1,0,barn.gif,5760649,-1,0,,,0,1,2,6,3352929,0,1427140519,1427079600,1358871458,511,0,0,,0,/$OrphanFiles/,
48,5,1,1,0,blini.gif,5760650,-1,0,,,0,1,2,6,2125114,0,1427140520,1427079600,1367950192,511,0,0,,0,/$OrphanFiles/,
49,5,1,1,0,boudicca.bmp,5760651,-1,0,,,0,1,2,6,8798374,0,1427140520,1427079600,1367948924,511,0,0,,0,/$OrphanFiles/,
50,5,1,1,0,cactus.png,5760652,-1,0,,,0,1,2,6,6164389,0,1427140522,1427079600,1358871560,511,0,0,,0,/$OrphanFiles/,
51,5,1,1,0,cave.png,5760653,-1,0,,,0,1,2,6,8182655,0,1427140524,1427079600,1358871638,511,0,0,,0,/$OrphanFiles/,
52,5,1,1,0,CUTTY-~1.JPG,5760656,-1,0,,,0,1,2,6,1625241,0,1427140526,1427079600,1097742076,511,0,0,,0,/$OrphanFiles/,
53,5,1,1,0,eggs.gif,5760657,-1,0,,,0,1,2,6,2284125,0,1427140527,1427079600,1358871696,511,0,0,,0,/$OrphanFiles/,
54,5,1,1,0,FORSYT~1.PNG,5760659,-1,0,,,0,1,2,6,8107995,0,1427140527,1427079600,1358871768,511,0,0,,0,/$OrphanFiles/,
55,5,1,1,0,injera.gif,5760660,-1,0,,,0,1,2,6,34480,0,1427140530,1427079600,1367950220,511,0,0,,0,/$OrphanFiles/,
56,5,1,1,0,JACK-O~1.TIF,5760663,-1,0,,,0,1,2,6,7545856,0,1427140530,1427079600,1367951876,511,0,0,,0,/$OrphanFiles/,
57,5,1,1,0,jump.jpg,5760664,-1,0,,,0,1,2,6,2015880,0,1427140532,1427079600,1363554084,511,0,0,,0,/$OrphanFiles/,
58,5,1,1,0,leaf.jpg,5760665,-1,0,,,0,1,2,6,798064,0,1427140532,1427079600,1264355060,511,0,0,,0,/$OrphanFiles/,
59,5,1,1,0,oak-snow.jpg,5760666,-1,0,,,0,1,2,6,1370140,0,1427140532,1427079600,1264355100,511,0,0,,0,/$OrphanFiles/,
60,5,1,1,0,orchid.png,5760667,-1,0,,,0,1,2,6,8455527,0,1427140533,1427079600,1358872224,511,0,0,,0,/$OrphanFiles/,
61,5,1,1,0,PIAZZA~1.JPG,5760670,-1,0,,,0,1,2,6,1267394,0,1427140535,1427079600,1113137346,511,0,0,,0,/$OrphanFiles/,
62,5,1,1,0,pisa.JPG,5760671,-1,0,,,0,1,2,6,847709,0,1427140535,1427079600,1113137344,511,0,0,,0,/$OrphanFiles/,
63,5,1,1,0,SPQR.JPG,5760672,-1,0,,,0,1,2,6,897275,0,1427140536,1427079600,1097742084,511,0,0,,0,/$OrphanFiles/,
64,5,1,1,0,STONEH~1.JPG,5760675,-1,0,,,0,1,2,6,1236401,0,1427140536,1427079600,1097742080,511,0,0,,0,/$OrphanFiles/,
65,5,1,1,0,tapas.gif,5760676,-1,0,,,0,1,2,6,2242264,0,1427140536,1427079600,1367950270,511,0,0,,0,/$OrphanFiles/,
66,5,1,1,0,tomatoes.gif,5760677,-1,0,,,0,1,2,6,2240548,0,1427140537,1427079600,1367950250,511,0,0,,0,/$OrphanFiles/,
67,5,1,1,0,wat.gif,5760678,-1,0,,,0,1,2,6,32186,0,1427140537,1427079600,1367950348,511,0,0,,0,/$OrphanFiles/,
69,5,1,,,$Unalloc,,,6,,,3,2,1,5,0,,,,,,,,,,/,
70,5,1,,,Unalloc_69_4263936_1073807360,,,4,1,,5,1,2,2,1069543424,,,,,,,,,,,
71,,1,,,Unalloc_3_0_65536,,,4,1,,5,1,2,2,65536,,,,,,,,,,,
72,,1,,,Unalloc_68_1073807360_4004511744,,,4,1,,5,1,2,2,2930704384,,,,,,,,,,,
